filled_zip,ZIP,total,me_total,vita_eligible,vita_per_capita,id,City,State,County,Org ID,United Way,#e-filed returns,filled_zip
00602,00602,12740.0,443.0,11638.0,0.9135007849293564,8600000US00602,Aguada,PR,Aguada,41001F,Fondos Unidos de Puerto Rico,1.0,00602
00622,00622,2067.0,251.0,1933.0,0.9351717464925012,8600000US00622,Boqueron,PR,Cabo Rojo,41001F,Fondos Unidos de Puerto Rico,1.0,00622
00656,00656,6502.0,254.0,6131.0,0.9429406336511844,8600000US00656,Guayanilla,PR,Guayanilla,41001F,Fondos Unidos de Puerto Rico,1.0,00656
00662,00662,13849.0,517.0,12953.0,0.9353021878836018,8600000US00662,Isabela,PR,Isabela,41001F,Fondos Unidos de Puerto Rico,1.0,00662
00720,00720,6626.0,246.0,6274.0,0.9468759432538484,8600000US00720,Orocovis,PR,Orocovis,41001F,Fondos Unidos de Puerto Rico,1.0,00720
00729,00729,16481.0,411.0,14259.0,0.8651780838541351,8600000US00729,Canovanas,PR,Canovanas,41001F,Fondos Unidos de Puerto Rico,3.0,00729
00738,00738,11558.0,335.0,10256.0,0.887350752725385,8600000US00738,Fajardo,PR,Fajardo,41001F,Fondos Unidos de Puerto Rico,1.0,00738
00926,00926,36114.0,1000.0,24576.0,0.6805117129091212,8600000US00926,San Juan,PR,San Juan,41001F,Fondos Unidos de Puerto Rico,2.0,00926
00959,00959,17685.0,687.0,14041.0,0.7939496748657054,8600000US00959,Bayamon,PR,Bayamon,41001F,Fondos Unidos de Puerto Rico,1.0,00959
00969,00969,14343.0,601.0,8231.0,0.5738687861674685,8600000US00969,Guaynabo,PR,Guaynabo,41001F,Fondos Unidos de Puerto Rico,1.0,00969
01001,01001,7413.0,322.0,3427.0,0.4622959665452583,8600000US01001,Agawam,MA,Hampden,23430F,United Way of Pioneer Valley,8.0,01001
01002,01002,9798.0,451.0,4867.0,0.4967340273525209,8600000US01002,Amherst,MA,Hampshire,23350U,United Way of Hampshire County,11.0,01002
01005,01005,1944.0,232.0,847.0,0.4356995884773662,8600000US01005,Barre,MA,Worcester,23520U,United Way of Central Massachusetts,2.0,01005
01007,01007,5563.0,196.0,1589.0,0.2856372460902391,8600000US01007,Belchertown,MA,Hampshire,23350U,United Way of Hampshire County,3.0,01007
01009,01009,114.0,76.0,23.0,0.2017543859649122,8600000US01009,Bondsville,MA,Hampden,23430F,United Way of Pioneer Valley,1.0,01009
01012,01012,272.0,48.0,115.0,0.4227941176470588,8600000US01012,Chesterfield,MA,Hampshire,23350U,United Way of Hampshire County,1.0,01012
01013,01013,9140.0,404.0,5668.0,0.6201312910284464,8600000US01013,Chicopee,MA,Hampden,23430F,United Way of Pioneer Valley,13.0,01013
01020,01020,12798.0,409.0,6320.0,0.4938271604938271,8600000US01020,Chicopee,MA,Hampden,23430F,United Way of Pioneer Valley,8.0,01020
01026,01026,448.0,46.0,234.0,0.5223214285714286,8600000US01026,Cummington,MA,Hampshire,23350U,United Way of Hampshire County,2.0,01026
01027,01027,7928.0,269.0,3522.0,0.4442482341069627,8600000US01027,Easthampton,MA,Hampshire,23350U,United Way of Hampshire County,16.0,01027
01028,01028,5958.0,219.0,2200.0,0.3692514266532393,8600000US01028,East Longmeadow,MA,Hampden,23430F,United Way of Pioneer Valley,1.0,01028
01029,01029,238.0,65.0,107.0,0.4495798319327731,8600000US01029,East Otis,MA,Berkshire,23380U,Berkshire United Way,1.0,01029
01030,01030,4416.0,286.0,1734.0,0.3926630434782608,8600000US01030,Feeding Hills,MA,Hampden,23430F,United Way of Pioneer Valley,5.0,01030
01033,01033,2603.0,143.0,890.0,0.3419131771033423,8600000US01033,Granby,MA,Hampshire,23430F,United Way of Pioneer Valley,1.0,01033
01035,01035,2294.0,163.0,947.0,0.4128160418482999,8600000US01035,Hadley,MA,Hampshire,23350U,United Way of Hampshire County,1.0,01035
01040,01040,15278.0,422.0,9890.0,0.6473360387485273,8600000US01040,Holyoke,MA,Hampden,23430F,United Way of Pioneer Valley,16.0,01040
01053,01053,565.0,82.0,269.0,0.4761061946902655,8600000US01053,Leeds,MA,Hampshire,23350U,United Way of Hampshire County,4.0,01053
01054,01054,766.0,57.0,240.0,0.3133159268929504,8600000US01054,Leverett,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0,01054
01056,01056,7925.0,271.0,3182.0,0.4015141955835962,8600000US01056,Ludlow,MA,Hampden,23430F,United Way of Pioneer Valley,2.0,01056
