ZCTA5,City,State,County,Org ID,United Way,#e-filed returns
00602,Aguada,PR,Aguada,41001F,Fondos Unidos de Puerto Rico,1.0
00622,Boqueron,PR,Cabo Rojo,41001F,Fondos Unidos de Puerto Rico,1.0
00656,Guayanilla,PR,Guayanilla,41001F,Fondos Unidos de Puerto Rico,1.0
00662,Isabela,PR,Isabela,41001F,Fondos Unidos de Puerto Rico,1.0
00720,Orocovis,PR,Orocovis,41001F,Fondos Unidos de Puerto Rico,2.0
00729,Canovanas,PR,Canovanas,41001F,Fondos Unidos de Puerto Rico,6.0
00738,Fajardo,PR,Fajardo,41001F,Fondos Unidos de Puerto Rico,1.0
00926,San Juan,PR,San Juan,41001F,Fondos Unidos de Puerto Rico,6.0
00959,Bayamon,PR,Bayamon,41001F,Fondos Unidos de Puerto Rico,4.0
00969,Guaynabo,PR,Guaynabo,41001F,Fondos Unidos de Puerto Rico,3.0
01001,Agawam,MA,Hampden,23430F,United Way of Pioneer Valley,8.0
01002,Amherst,MA,Hampshire,23350U,United Way of Hampshire County,22.0
01005,Barre,MA,Worcester,23520U,United Way of Central Massachusetts,2.0
01007,Belchertown,MA,Hampshire,23350U,United Way of Hampshire County,3.0
01009,Bondsville,MA,Hampden,23430F,United Way of Pioneer Valley,1.0
01012,Chesterfield,MA,Hampshire,23350U,United Way of Hampshire County,1.0
01013,Chicopee,MA,Hampden,23430F,United Way of Pioneer Valley,13.0
01020,Chicopee,MA,Hampden,23430F,United Way of Pioneer Valley,8.0
01026,Cummington,MA,Hampshire,23350U,United Way of Hampshire County,2.0
01027,Easthampton,MA,Hampshire,23350U,United Way of Hampshire County,16.0
01028,East Longmeadow,MA,Hampden,23430F,United Way of Pioneer Valley,1.0
01029,East Otis,MA,Berkshire,23380U,Berkshire United Way,1.0
01030,Feeding Hills,MA,Hampden,23430F,United Way of Pioneer Valley,5.0
01033,Granby,MA,Hampshire,23430F,United Way of Pioneer Valley,1.0
01035,Hadley,MA,Hampshire,23350U,United Way of Hampshire County,1.0
01040,Holyoke,MA,Hampden,23430F,United Way of Pioneer Valley,16.0
01053,Leeds,MA,Hampshire,23350U,United Way of Hampshire County,4.0
01054,Leverett,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0
01056,Ludlow,MA,Hampden,23430F,United Way of Pioneer Valley,2.0
01057,Monson,MA,Hampden,23430F,United Way of Pioneer Valley,2.0
01060,Northampton,MA,Hampshire,23350U,United Way of Hampshire County,34.0
01062,Florence,MA,Hampshire,23350U,United Way of Hampshire County,7.0
