"county_name","state_name","Full FIPS Code","#e-filed returns","United Way","Any e-filed returns","STATEFP","COUNTYFP","id","appointment_info","created_at","dates","details","hours","irs_id","languages","name","updated_at","longitude","latitude"
"Fayette County","Illinois","17051",5.0,"United Way of Effingham County","Yes",17.0,51.0,1263.0,"Not Required","2020-01-10T19:32:27.015325","24 JAN 2022 - 18 APR 2022","517 W. Gallatin Street
Vandalia, IL 62471
Volunteer Prepared Taxes","MON 9:00AM-4:00PM
TUE 9:00AM-4:00PM
WED 9:00AM-4:00PM
THU 9:00AM-4:00PM
FRI 9:00AM-4:00PM",1466.0,"English","CEFS Fayette County Outreach","2022-03-20T00:00:55.298262",-89.096321,38.960707
"Logan County","Illinois","17107",6.0,"The United Way of Central Illinois, Inc., United Way of Logan County","Yes","","","","","","","","","","","","","",""
"Saline County","Illinois","17165",2.0,"United Way of Southern Illinois","Yes","","","","","","","","","","","","","",""
"Lake County","Illinois","17097",357.0,"Barrington Area United Way, United Way of Greater McHenry County, Inc., United Way of Metropolitan Chicago, United Way of Lake County, Inc.","Yes",17.0,97.0,1347.0,"Not Required","2020-01-10T19:32:27.713489","05 FEB 2022 - 09 APR 2022","800 Central Ave
Highland Park, IL 60035
Volunteer Prepared Taxes","SAT 9:00AM-12:00PM",23274.0,"English,Spanish","Moraine Township","2022-03-20T00:00:56.075665",-87.804595,42.183791
"Lake County","Illinois","17097",357.0,"Barrington Area United Way, United Way of Greater McHenry County, Inc., United Way of Metropolitan Chicago, United Way of Lake County, Inc.","Yes",17.0,97.0,1335.0,"Required","2020-01-10T19:32:27.61846","05 FEB 2022 - 09 APR 2022","1016 Grand Ave
Waukegan, IL 60085
847-360-1008
Volunteer Prepared Taxes","",7711.0,"English","Waukegan Community Church","2022-03-20T00:00:55.971535",-87.844265,42.367701
"Massac County","Illinois","17127",3.0,"Massac County United Way","Yes","","","","","","","","","","","","","",""
"Cass County","Illinois","17017",1.0,"Prairieland United Way","Yes","","","","","","","","","","","","","",""
"Huntington County","Indiana","18069",90.0,"United Way of Huntington County, Inc., United Way of Grant County, Inc.","Yes","","","","","","","","","","","","","",""
"White County","Indiana","18181",285.0,"United Way of Greater Lafayette & Tippecanoe County, United Way of Cass County, Inc., White County United Way, Inc.","Yes","","","","","","","","","","","","","",""
"Jay County","Indiana","18075",49.0,"United Way of Jay County, Inc., United Way of Delaware County, Inc.","Yes","","","","","","","","","","","","","",""
"Shelby County","Indiana","18145",113.0,"United Way of Bartholomew County, United Way of Central Indiana, United Way of Johnson County","Yes","","","","","","","","","","","","","",""
"Sullivan County","Indiana","18153",9.0,"United Way of the Wabash Valley, Inc.","Yes","","","","","","","","","","","","","",""
"Tippecanoe County","Indiana","18157",482.0,"United Way of Greater Lafayette & Tippecanoe County, United Way of Danville Area, Inc.","Yes",18.0,157.0,4821.0,"Required","2021-01-31T00:00:24.891959","27 JAN 2022 - 15 APR 2022","1114 East State Street
Lafayette, IN 47905
765-421-6163
Volunteer Prepared Taxes","",13813.0,"English,Spanish","United Way of Greater Lafayette","2022-03-20T00:00:56.736402",-86.883838,40.41107
"Tippecanoe County","Indiana","18157",482.0,"United Way of Greater Lafayette & Tippecanoe County, United Way of Danville Area, Inc.","Yes",18.0,157.0,3735.0,"Required","2020-02-25T16:46:57.21626","29 JAN 2022 - 06 APR 2022","420  N. 4th Street
Lafayette, IN 47901
765-423-2691
Volunteer Prepared Taxes","",7541.0,"English","Lafayette Urban Ministry","2022-03-20T00:00:56.72741",-86.893072,40.421097
"Hamilton County","Indiana","18057",338.0,"United Way of Central Indiana","Yes",18.0,57.0,1488.0,"Required","2020-01-10T19:32:28.88746","05 FEB 2022 - 02 APR 2022","12900 Hazel Dell Parkway
Carmel, IN 46033
Volunteer Prepared Taxes","",10331.0,"English","Northview Church","2022-03-20T00:00:57.527322",-86.070608,39.981516
"Bartholomew County","Indiana","18005",410.0,"United Way of Bartholomew County, Jackson County United Way, United Way of Johnson County","Yes",18.0,5.0,1532.0,"Required","2020-01-10T19:32:29.37912","07 FEB 2022 - 08 APR 2022","2380 25th St
Columbus, IN 47201
812-375-2216
Volunteer Prepared Taxes","",15929.0,"English,Spanish","United Way of Bartholomew County","2022-03-20T00:00:57.908995",-85.897511,39.22302
"Fulton County","Indiana","18049",17.0,"Fulton County United Way, United Way of Kosciusko County, Inc., United Way of Marshall County, Inc.","Yes","","","","","","","","","","","","","",""
