STATEFP,COUNTYFP,AFFGEOID,GEOID,id,appointment_info,created_at,dates,details,hours,irs_id,languages,name,updated_at,longitude,latitude
37,077,0500000US37077,37077,4133,Required,2020-02-25T16:47:06.181662,04 FEB 2022 - 15 APR 2022,"2197 Moss Hayes Rd
Mt Vernon Missionary Baptist Church
Creedmoor, NC 27522
919-528-2715
Volunteer Prepared Taxes",,1899,English,Helping Hand VITA,2022-03-20T00:01:07.191002,-78.643693,36.12903
37,077,0500000US37077,37077,5024,Not Required,2021-02-21T00:00:35.578898,02 FEB 2022 - 13 APR 2022,"1547 S Campus Drive
Creedmoor, NC 27522
Volunteer Prepared Taxes",WED 5:00PM-8:00PM,1900,English,S Granville Public Library AHOC,2022-03-20T00:01:06.958669,-78.721434,36.14156
37,077,0500000US37077,37077,5027,Not Required,2021-02-21T00:00:35.725107,29 JAN 2022 - 09 APR 2022,"210 Main Street
Oxford, NC 27565
Volunteer Prepared Taxes",SAT 11:00AM-2:00PM,17821,English,Richard Thornton Public Library ADHOC,2022-03-20T00:01:07.151746,-78.587098,36.30988
37,077,0500000US37077,37077,4898,Required,2021-01-31T00:00:30.09361,10 FEB 2022 - 14 APR 2022,"107 Lanier Street
Oxford, NC 27565
919-693-1930
Volunteer Prepared Taxes",,14927,English,Granville County Senior Center adhoc,2022-03-20T00:01:07.169847,-78.585862,36.313199
39,033,0500000US39033,39033,1818,Required,2020-01-10T19:32:31.719036,02 FEB 2022 - 13 APR 2022,"105 Washington Square
2nd Floor
Bucyrus, OH 44820
419-562-3050
Volunteer Prepared Taxes",,8384,English,Bucyrus VITA Site,2022-03-20T00:01:00.343832,-82.975563,40.808502
54,055,0500000US54055,54055,2033,Required,2020-01-10T19:32:33.503771,02 FEB 2022 - 13 APR 2022,"219 Rock Street, Business Department
Bluefield, WV 24701
304-327-4081
Volunteer Prepared Taxes",,9468,English,Bluefield State College,2022-03-20T00:01:03.117246,-81.225976,37.29939
18,081,0500000US18081,18081,3791,Required,2020-02-25T16:46:58.140751,14 FEB 2022 - 22 MAR 2022,"310 S. Meridian Street
Greenwood, IN 46143
317-881-1953
Volunteer Prepared Taxes",,5923,English,Greenwood Public Library,2022-03-20T00:00:57.562805,-86.106351,39.611983
19,041,0500000US19041,19041,6889,Required,2022-01-23T00:00:44.702127,03 FEB 2022 - 24 APR 2022,"110 W 4th St
Ste 100
Spencer, IA 51301
712-262-2264
Volunteer Prepared Taxes",,29650,"English,Sign Language",ISU Extension - Clay County,2022-03-20T00:00:50.843593,-95.146304,43.141234
28,081,0500000US28081,28081,1392,Not Required,2020-01-10T19:32:28.098707,03 FEB 2022 - 14 APR 2022,"2577 Mccullough Blvd
Tupelo, MS 38826
Volunteer Prepared Taxes","TUE 10:00AM-1:00PM
THU 10:00AM-1:00PM",7980,English,"Lift, Incorporated",2022-03-20T00:00:56.607901,-88.765623,34.295435
26,075,0500000US26075,26075,1626,Required,2020-01-10T19:32:30.130027,03 FEB 2022 - 14 APR 2022,"120 E Main St.
Spring Arbor, MI 49283
517-539-8325
Volunteer Prepared Taxes",,8729,English,CAA Jackson The Arbor Church,2022-03-20T00:00:58.84839,-84.553302,42.205303
