acs_state_fips,state_name,hh_income_total_estimate,hh_income_less_than_60000,STATEFP,number_vita_sites,"VITA per 100,000 households","VITA per 100,000 households under 60K",% households under 60K
1,Alabama,1867893.0,1074675.0,1,82,4.389973087323525,7.630213785563077,57.53407716609035
2,Alaska,253346.0,95601.0,2,4,1.5788684249998026,4.18405665212707,37.735350074601534
4,Arizona,2571268.0,1306074.0,4,88,3.422435934332788,6.737749928411406,50.79493852838366
5,Arkansas,1158071.0,700662.0,5,47,4.0584730987996425,6.707941917786322,60.50250805002456
6,California,13044266.0,5345130.0,6,347,2.660172676638149,6.491890749149226,40.97685527112066
8,Colorado,2148994.0,894913.0,8,69,3.210804683493765,7.710246694371408,41.64334567709356
9,Connecticut,1370746.0,541338.0,9,81,5.909191053630651,14.962925196457666,39.4922181060532
10,Delaware,363322.0,160937.0,10,9,2.4771414888170824,5.592250383690512,44.295968865083864
11,District of Columbia,284386.0,107107.0,11,9,3.1647127495727636,8.402812141129898,37.66254316316556
12,Florida,7736311.0,4115708.0,12,213,2.7532502248164534,5.175294262858298,53.19987782290552
13,Georgia,3758798.0,1913167.0,13,61,1.6228592225493361,3.188430492476611,50.89837229880403
15,Hawaii,459424.0,168963.0,15,20,4.353277147036289,11.836911039695082,36.777138329734626
16,Idaho,630008.0,336213.0,16,14,2.2221940038856647,4.1640269709975515,53.36646518774365
17,Illinois,4846134.0,2225282.0,17,78,1.6095304009340228,3.505173726296263,45.91870550834955
18,Indiana,2570419.0,1358547.0,18,74,2.878908069073564,5.446995944932343,52.853134061022736
19,Iowa,1265473.0,627495.0,19,46,3.6350044607826484,7.330735703073332,49.585807046061035
20,Kansas,1129227.0,568010.0,20,29,2.5681284630990935,5.105543916480344,50.30078097672125
21,Kentucky,1734618.0,996138.0,21,39,2.24833363887611,3.9151201941899614,57.4269378041736
22,Louisiana,1739497.0,1004920.0,22,75,4.3115912243596854,7.463280659156948,57.77072337578048
23,Maine,559921.0,288094.0,23,23,4.107722339401452,7.9835053836595,51.452615636848776
24,Maryland,2205204.0,787539.0,24,23,1.0429874061538071,2.9204902868302396,35.712750384998394
25,Massachusetts,2617497.0,1007283.0,25,46,1.757404115458394,4.566740429452299,38.482680209375594
26,Michigan,3935041.0,2048578.0,26,101,2.566682278532803,4.930249177722303,52.05988959200171
27,Minnesota,2185603.0,922928.0,27,66,3.0197615943975187,7.151153719466741,42.227614072638076
28,Mississippi,1104394.0,683292.0,28,34,3.0786114375847746,4.975910738015373,61.87031077676989
29,Missouri,2414521.0,1289151.0,29,85,3.520366979620389,6.593486721105596,53.39158367228946
30,Montana,427871.0,231507.0,30,23,5.375451946965323,9.934904776097484,54.10672842983048
31,Nebraska,759176.0,371307.0,31,18,2.3709917067978967,4.847740548925821,48.90921209311148
32,Nevada,1098602.0,546059.0,32,7,0.6371734258630515,1.281912760342747,49.70489767905028
33,New Hampshire,532037.0,207305.0,33,14,2.63139593674876,6.753334458889077,38.96439533340727
34,New Jersey,3231874.0,1213466.0,34,63,1.9493334207954887,5.19174002403034,37.5468226793495
35,New Mexico,780249.0,453660.0,35,13,1.6661347851775523,2.865582154036062,58.1429774341268
36,New York,7343234.0,3298064.0,36,193,2.628269778683343,5.851917973696084,44.9129634163912
37,North Carolina,3965482.0,2142165.0,37,75,1.891321155914968,3.501130865269482,54.0202931194745
38,North Dakota,318322.0,147710.0,38,9,2.827325789609264,6.093020106966353,46.40269915368715
39,Ohio,4676358.0,2455206.0,39,99,2.1170321006218944,4.03224821053712,52.50252440039878
40,Oklahoma,1480061.0,822752.0,40,65,4.391710882186612,7.900315040255143,55.58906018062769
41,Oregon,1611982.0,772489.0,41,16,0.9925669145188967,2.0712269042018723,47.921688951861746
42,Pennsylvania,5053106.0,2464362.0,42,134,2.6518343371383857,5.43751283293607,48.7692520204405
44,Rhode Island,410489.0,186537.0,44,24,5.846685294855647,12.866080187844771,45.442630618603665
45,South Carolina,1921862.0,1061751.0,45,74,3.850432549267325,6.969619053808285,55.24595418401529
46,South Dakota,344397.0,177044.0,46,16,4.6458012119733905,9.03730146178351,51.40695186078857
47,Tennessee,2597292.0,1435716.0,47,57,2.1945934457889216,3.9701445132602826,55.27741971253136
48,Texas,9691647.0,4715697.0,48,210,2.1668143711796355,4.45321232471043,48.65733347489854
49,Utah,977313.0,400458.0,49,46,4.706782780951445,11.486847559544323,40.975409106396825
50,Vermont,260029.0,125975.0,50,10,3.8457248999150098,7.938082952966859,48.44651942667933
51,Virginia,3151045.0,1293556.0,51,71,2.2532207569234965,5.488745752020013,41.05165111891452
53,Washington,2848396.0,1164727.0,53,32,1.123439297064032,2.7474249330529816,40.89062756723433
54,West Virginia,732585.0,447310.0,54,48,6.552140707221688,10.730813082649616,61.059126244736106
55,Wisconsin,2358156.0,1146775.0,55,31,1.3145864819799877,2.7032329794423493,48.630158479761306
56,Wyoming,230101.0,107439.0,56,13,5.649692960917163,12.099889239475424,46.692104771383
72,Puerto Rico,1192654.0,1029733.0,72,26,2.1800119732965304,2.524926364407084,86.33962574225215
