Zip,#e-filed returns
00602,1.0
00622,1.0
00656,1.0
00662,1.0
00720,1.0
00729,3.0
00738,1.0
00823,1.0
00851,1.0
00926,2.0
00959,1.0
00969,1.0
01001,8.0
01002,11.0
01005,2.0
01007,3.0
01009,1.0
01012,1.0
01013,13.0
01020,8.0
01026,2.0
01027,16.0
01028,1.0
01029,1.0
01030,5.0
01033,1.0
01035,1.0
01040,16.0
01053,2.0
01054,1.0
01056,2.0
01057,2.0
01059,2.0
01060,33.0
01061,1.0
01062,7.0
01069,2.0
01070,1.0
01075,5.0
01077,3.0
01082,5.0
01083,2.0
01085,4.0
01089,13.0
01095,1.0
01096,1.0
01098,2.0
01103,2.0
01104,21.0
01105,5.0
01106,3.0
01107,10.0
01108,27.0
01109,18.0
01118,5.0
01119,10.0
01128,3.0
01129,3.0
01130,1.0
01151,11.0
01201,32.0
01202,1.0
01220,1.0
01222,1.0
01223,1.0
01226,4.0
01230,8.0
01235,4.0
01238,2.0
01240,2.0
01242,1.0
01244,1.0
01245,2.0
01247,9.0
01257,3.0
01259,3.0
01266,1.0
01267,2.0
01301,22.0
01330,1.0
01331,3.0
01337,1.0
01340,2.0
01341,1.0
01344,1.0
01346,1.0
01349,1.0
01350,2.0
01351,3.0
01354,1.0
01355,2.0
01360,2.0
01364,3.0
01366,2.0
01367,1.0
01368,1.0
01370,3.0
01373,2.0
01375,5.0
01376,2.0
01379,2.0
01420,11.0
01430,3.0
01431,1.0
01432,2.0
01434,2.0
01438,1.0
01440,5.0
01441,1.0
01450,1.0
01453,8.0
01462,2.0
01463,3.0
01475,2.0
01501,2.0
01503,6.0
01504,1.0
01507,1.0
01510,4.0
01516,1.0
01520,1.0
01523,1.0
01524,2.0
01527,2.0
01529,1.0
01532,1.0
01532,1.0
01534,1.0
01535,2.0
01536,3.0
01537,1.0
01540,1.0
01545,4.0
01562,3.0
01566,4.0
01568,1.0
01569,1.0
01585,2.0
01602,4.0
01603,3.0
01604,16.0
01605,5.0
01606,4.0
01607,1.0
01608,2.0
01609,6.0
01610,5.0
01612,1.0
01653,1.0
01701,8.0
01702,3.0
01720,2.0
01731,1.0
01741,1.0
01742,1.0
01746,3.0
01747,1.0
01748,1.0
01749,7.0
01752,25.0
01754,5.0
01757,7.0
01760,5.0
01772,2.0
01775,2.0
01776,3.0
01778,2.0
01801,5.0
01803,6.0
01810,2.0
01821,30.0
