id,appointment_info,archived,coordinates,created_at,dates,details,hours,irs_id,languages,last_scrape_id,name,updated_at
2,Required,false,0101000020E61000007D7555A0169A5EC0471CB28174E54240,2020-01-10T19:32:16.304931,29 JAN 2022 - 01 OCT 2022,"777 Stockton Street
#104
San Francisco, CA 94108
415-421-2111
Volunteer Prepared Taxes",,4209,"Chinese,Cantonese,Mandarin,English,Vietnamese",1088,Chinese Newcomers - VITA,2022-03-20T00:00:42.58256
5011,Not Required,true,0101000020E61000001EA5129ED09A5EC0663046240AE14240,2021-02-21T00:00:19.943293,12 FEB 2021 - 15 APR 2021,"2430 Mission Street
San Francisco, CA 94110
Volunteer Prepared Taxes","MON 10:00AM-4:00PM
TUE 10:00AM-4:00PM
WED 10:00AM-4:00PM
THU 10:00AM-4:00PM
FRI 10:00AM-4:00PM",28871,English,39,Mission SF Self-Help FCU,2021-04-18T00:00:14.573214
7200,Required,false,0101000020E610000077A38FF9807F5EC0FC1C1F2DCEC24240,2022-02-27T00:01:19.735168,02 MAR 2022 - 13 APR 2022,"39899 Balentine Dr
Suite 315
Newark, CA 94560
510-598-5543
Volunteer Prepared Taxes",,29493,"English,Chinese",1088,C  and L Tax and Accounting VITA,2022-03-20T00:00:42.949378
3,Required,true,0101000020E6100000219221C7D6925EC0CEE2C5C210E74240,2020-01-10T19:32:16.31318,01 FEB 2021 - 03 MAY 2021,"1432 7th Street
Oakland, CA 94607
877-369-2828
Volunteer Prepared Taxes",,8270,"English,Spanish",42,Community Trust Self-Help FCU,2021-05-09T00:00:14.284229
4649,Required,true,0101000020E610000090DB2F9FAC8754C05C0531D0B5234340,2020-07-19T00:00:08.127755,03 JUN 2020 - 08 JUL 2020,"7999 Lynn Avenue
Opening 6/3/20 By Appointment 844-982-2737
Hamlin, WV 25523
844-982-2737
Volunteer Prepared Taxes",,28509,English,12,Hamlin-Lincoln County Public Library,2020-09-27T00:00:05.522021
5037,Not Required,true,0101000020E61000004435255987985EC0946DE00ED4014440,2021-03-07T00:00:23.459852,28 JAN 2021 - 13 APR 2021,"17592 Stagecoach Road
Corning, CA 96021
Volunteer Prepared Taxes",MON 11:00AM-3:30PM,26011,"English,Spanish",38,Rancho Tehama Rec Hall,2021-04-04T00:00:40.362061
4959,Not Required,true,0101000020E6100000BC79AA436E3F5EC04302469737CB4240,2021-02-07T00:00:20.361969,30 JAN 2021 - 20 MAR 2021,"251 E HACKETT RD
Modesto, CA 95358
Volunteer Prepared Taxes",SAT 9:00AM-4:00PM,23610,"English,Spanish",37,Stanislaus Community Services Agency,2021-03-28T00:00:42.248537
4653,Required,true,0101000020E6100000009013268C5257C0124BCADDE79A4240,2020-09-27T00:00:04.889358,01 JUL 2020 - 30 SEP 2020,"330 N Jefferson Ave
Springfield, MO 65806
417-720-2000
Volunteer Prepared Taxes",,25327,English,30,ATLS-CPO-Summer Clinic,2021-01-31T00:00:33.718507
31,Required,true,0101000020E61000005C72DC291D855EC01B9DF3531CD74240,2020-01-10T19:32:16.61817,03 FEB 2020 - 15 APR 2020,"22325 North Third Street
Hayward, CA 94546
510-881-6766
Volunteer Prepared Taxes",,7653,"English,Cantonese,Mandarin",2,Hayward Area Senior Ctr - VITA,2020-07-19T00:00:09.250799
4658,Required,true,0101000020E61000006D0377A04E7A5EC0D1ADD7F4A07C4240,2021-01-31T00:00:16.306831,01 FEB 2021 - 15 DEC 2021,"234 Santa Cruz Avenue
Aptos, CA 95003
831-724-2606
Volunteer Prepared Taxes",,28684,"English,Spanish",1077,Project Scout (VITA),2021-12-26T00:01:18.484962
7063,Required,false,0101000020E61000007C7DAD4B8D6F5EC089618731E9454340,2022-01-30T00:00:45.58202,01 FEB 2022 - 18 APR 2022,"441 D Street
Davis, CA 95616
530-757-1261
Volunteer Prepared Taxes",,20646,"English,Spanish,Mandarin",1088,CRVC Empower Yolo - Davis,2022-03-20T00:00:43.236295
4652,Required,true,0101000020E6100000996725ADF87C52C04A287D21E4504440,2020-07-19T00:00:08.970037,04 MAY 2020 - 30 JUN 2020,"Visit singlestoptax.org
or call 800-290-7189
Remote taxes only
Brooklyn, NY 11210
800-290-7189
Volunteer Prepared Taxes",,26645,"English,Spanish",12,Single Stop USA -Virtual Prep Hub,2020-09-27T00:00:05.522021
3181,Not Required,false,0101000020E6100000151E34BBEEC05DC0BF0B5BB395A94140,2020-02-25T16:46:45.740162,19 FEB 2022 - 24 MAR 2022,"1101 Planz Road
Bakersfield, CA 93304
Volunteer Prepared Taxes","THU 12:00PM-4:00PM
SAT 9:00AM-3:00PM",27776,"English,Spanish",1088,UWK Mobile - South High School,2022-03-20T00:00:44.102705
257,Required,false,0101000020E61000007E39B35DA1905DC0F7AC6BB41C084140,2020-01-10T19:32:18.449673,27 FEB 2022 - 15 APR 2022,"153 Glendale Blvd
Los Angeles, CA 90026
213-250-4353
Volunteer Prepared Taxes",,18192,"Tagalog,English",1088,Pilipino Workers Center,2022-03-20T00:00:44.51856
3285,Required,false,0101000020E6100000B3B27DC85BEA5BC0C007AF5DDA204440,2020-02-25T16:46:47.967864,31 JAN 2022 - 15 APR 2022,"1675 N Freedom Blvd
Bldg 1
Provo, UT 84604
801-344-7020
Volunteer Prepared Taxes",,27730,"English,Spanish",1088,EIKISI-ML-Green Dot - Bonneville Bank VITA,2022-03-20T00:00:46.42472
4711,Required,false,0101000020E6100000605628D2FD3B5AC04A9BAA7B64D74340,2021-01-31T00:00:18.770074,31 JAN 2022 - 15 APR 2022,"1873 Bellaire Street
Suite 500
Drop off may require return visit
Denver, CO 80222
720-772-6841
Volunteer Prepared Taxes",,29218,"English,Spanish,Arabic,Farsi,French,Virtual Interpreter Services",1088,"The International Rescue Committee, Denver, CO",2022-03-20T00:00:48.595919
6800,Not Required,false,0101000020E61000007157AF22A3F657C0AE9B525E2B1B4040,2022-01-09T00:00:40.907971,01 JAN 2022 - 15 APR 2022,"706 North Palestine
Athens, TX 75751
903-675-7288
Volunteer Prepared Taxes","TUE 10:00AM-4:00PM
THU 10:00AM-4:00PM",28435,English,1088,Athens,2022-03-20T00:00:52.099433
1048,Not Required,false,0101000020E610000062A1D634EFDA57C0734BAB2171DB3D40,2020-01-10T19:32:25.11969,21 JAN 2022 - 18 APR 2022,"6719 West Montgomery Road
Houston, TX 77091
Volunteer Prepared Taxes","MON 9:00AM-5:00PM
TUE 9:00AM-5:00PM
WED 9:00AM-5:00PM
FRI 9:00AM-5:00PM
SAT 10:00AM-3:00PM",11234,"English,Spanish,Virtual Interpreter Services",1088,BakerRipley-Acres Home Multi-Service Ctr,2022-03-20T00:00:53.228912
5054,Required,false,0101000020E6100000D1AE42CA4FEA56C086E63A8DB4FC4440,2021-05-02T00:00:12.495037,01 JAN 2022 - 01 OCT 2022,"317 7th Avenue
Suite 202F
Cedar Rapids, IA 52401
712-746-3025
Volunteer Prepared Taxes",,29410,"English,Spanish",1088,Manna Outreach and Resource,2022-03-20T00:00:53.470691
1538,Required,false,0101000020E6100000ED0C535BEA4056C04FAC53E57B663E40,2020-01-10T19:32:29.426032,25 JAN 2022 - 21 DEC 2022,"1135 Ford Street
Gulfport, MS 39507
228-896-1945
Volunteer Prepared Taxes",,11954,"English,Vietnamese",1088,Mercy Housing and Human Development,2022-03-20T00:00:57.955764
3113,Not Required,true,0101000020E610000015E5D2F885975EC025917D9065E94240,2020-02-25T16:46:44.081836,02 FEB 2022 - 15 APR 2022,"850 Avenue I
Building 497
Treasure Island, CA 94130
415-986-4810
Volunteer Prepared Taxes","THU 9:00AM-8:00PM
SAT 10:00AM-1:00PM",7127,"English,Spanish",1080,ONE Treasure Island,2022-01-23T00:00:59.536909
2706,Required,false,0101000020E6100000699082A7901954C03065E08096A23B40,2020-01-10T19:32:39.262939,31 JAN 2022 - 16 APR 2022,"1836 14th Ave
Appointment only
Vero Beach, FL 32960
772-567-8900
Volunteer Prepared Taxes",,1014,"English,Virtual Interpreter Services",1088,United Way of Indian River - Drop off Method,2022-03-20T00:01:10.388919
6487,Required,true,0101000020E610000031CD74AF939B54C03BE5D18DB06C4140,2021-12-26T00:01:02.190156,01 FEB 2017 - 15 APR 2017,"8 Lois Avenue
Greenville, SC 29611
866-892-9211
Volunteer Prepared Taxes",,24781,English,1078,Mill Village Ministries,2022-01-09T00:00:47.989319
7025,Required,false,0101000020E61000004776A565A47952C0B18A37328F6C4440,2022-01-23T00:00:57.835428,29 JAN 2022 - 16 APR 2022,"1920 Webster Avenue
Bronx, NY 10457
917-697-0845
Volunteer Prepared Taxes",,30997,"Spanish,English",1088,Bronxworks NYCH Tremont,2022-03-20T00:01:11.859729
3009,Required,false,0101000020E6100000F52EDE8FDB2652C0F7C9518028184540,2020-01-10T19:32:41.725941,31 JAN 2022 - 13 MAY 2022,"35 Mount Carmel Ave
2nd Floor
Chicopee, MA 01013
413-612-0216
Volunteer Prepared Taxes",,24790,"English,Spanish",1088,Valley Opportunity Council,2022-03-20T00:01:13.518512
371,Required,true,0101000020E6100000CA8AE1EA00CA5CC0C9022670EB184240,2020-01-10T19:32:19.408057,24 JAN 2022 - 14 APR 2022,"1950 North J Street
www.nvfreetaxes.org
Las Vegas, NV 89106
Volunteer Prepared Taxes",,7101,English,1088,NFTC - Doolittle Community Center,2022-03-20T00:01:15.115144
3115,Required,false,0101000020E61000007BC03C64CA905EC0F7ADD689CBE74240,2020-02-25T16:46:44.11454,07 FEB 2022 - 18 APR 2022,"200 Grand Ave
Oakland, CA 94612
510-238-4911
Volunteer Prepared Taxes",,27146,English,1088,City of Oakland VITA,2022-03-20T00:00:42.638178
5015,Required,true,0101000020E61000003D9D2B4A09385AC08A3C49BA66F64340,2021-02-21T00:00:23.178427,02 FEB 2021 - 08 APR 2021,"4430 S. Adams County Parkway
Brighton, CO 80601
720-523-6771
Volunteer Prepared Taxes",,12009,English,34,Adams County Government Center,2021-03-07T00:00:41.385896
12,Required,false,0101000020E6100000EDF483BA488E5EC091ED7C3F35E44240,2020-01-10T19:32:16.444281,24 JAN 2022 - 15 APR 2022,"1900 Fruitvale Ave
Suite 2A
ITIN Certifying Acceptance Agent
Oakland, CA 94601
510-535-6101
Volunteer Prepared Taxes",,11868,"Spanish,English",1088,The Unity Council,2022-03-20T00:00:42.695182
48,Not Required,false,0101000020E61000007FC2D9AD65855EC04E469561DCB14240,2020-01-10T19:32:16.762299,05 MAR 2022 - 16 APR 2022,"585 Franklin Street
Volunteer Prepared and Self-Prep
Mountain View, CA 94041
Volunteer Prepared Taxes",SAT 10:15AM-12:15PM,24822,English,1088,Mountain View Public Library,2022-03-20T00:00:42.967996
57,Required,true,0101000020E6100000823B50A73CAA5EC005C24EB16A224340,2020-01-10T19:32:16.841312,05 FEB 2020 - 15 APR 2020,"1179 North McDowell Blvd
Petaluma, CA 94954
707-559-7500
Volunteer Prepared Taxes",,26418,English,2,Petaluma Health Center,2020-07-19T00:00:09.250799
3136,Not Required,false,0101000020E610000059FCA6B0526A5EC05839B4C876904240,2020-02-25T16:46:44.806029,31 JAN 2022 - 04 APR 2022,"17666 Crest Ave
Morgan Hill, CA 95037
Volunteer Prepared Taxes",MON 10:00AM-5:00PM,13121,"English,Spanish",1088,Boys and Girls Club,2022-03-20T00:00:43.207413
5036,Required,false,0101000020E6100000BAF8DB9E205B5EC09276A38FF91C4340,2021-03-07T00:00:23.251471,07 FEB 2022 - 30 SEP 2022,"26675 N Sacramento Blvd
Thornton, CA 95686
209-468-1784
Volunteer Prepared Taxes",,12032,"English,Spanish",1088,Thornton Community Center,2022-03-20T00:00:43.216633
7064,Required,false,0101000020E610000099B8551003715EC096438B6CE7534340,2022-01-30T00:00:45.605343,04 FEB 2022 - 15 APR 2022,"2001 East Street
Woodland, CA 95776
530-661-2000
Volunteer Prepared Taxes",,31008,English,1088,CRVC Woodland Senior Center - VITA Only,2022-03-20T00:00:43.254431
6089,Required,false,0101000020E610000002F390291F5E5EC0BEF73768AF464340,2021-12-26T00:00:41.883988,13 FEB 2022 - 13 APR 2022,"6000 J Street
Sacramento, CA 95819
800-500-4931
Volunteer Prepared Taxes",,24330,English,1088,CRVC CSU Sacramento,2022-03-20T00:00:43.319338
7065,Required,false,0101000020E61000002D228AC91B6E5EC0774D486B0C664340,2022-01-30T00:00:45.729069,01 FEB 2022 - 18 APR 2022,"9586 Mill Street
Knights Landing, CA 95645
530-661-5519
Volunteer Prepared Taxes",,29731,"English,Spanish",1088,CRVC Empower Yolo - Knights Landing,2022-03-20T00:00:43.374288
3156,Required,false,0101000020E61000000B444FCAA4535EC0718E3A3AAE484340,2020-02-25T16:46:45.14215,08 FEB 2022 - 09 APR 2022,"10389 Old Placerville Road
Sacramento, CA 95827
800-500-4931
Volunteer Prepared Taxes",,27658,English,1088,CRVC United Way Califonia Capital Region,2022-03-20T00:00:43.396457
4659,Required,false,0101000020E610000023C0E95DBC765EC042EC4CA1F34A4240,2021-01-31T00:00:16.416984,05 FEB 2022 - 09 APR 2022,"60 Garden Ct
#350
Monterey, CA 93940
831-757-3206
Volunteer Prepared Taxes",,28774,"English,Spanish",1088,UWMC Monterey,2022-03-20T00:00:43.53255
7066,Required,false,0101000020E6100000910DA48B4D335EC0D656EC2FBB5D4340,2022-01-30T00:00:45.888383,04 FEB 2022 - 15 APR 2022,"937 Spring St
Placerville, CA 95667
530-497-0380
Volunteer Prepared Taxes",,29587,English,1088,CRVC Placerville Senior Center,2022-03-20T00:00:43.60732
6834,Required,false,0101000020E6100000431EC18D94C65DC08448861C5BAD4140,2022-01-23T00:00:39.897084,05 FEB 2022 - 26 MAR 2022,"9001 Stockdale Highway
Bakersfield, CA 93311
661-654-3098
Volunteer Prepared Taxes",,26474,"English,Spanish",1088,California State Universtiy Bakersfield,2022-03-20T00:00:44.0351
4662,Required,false,0101000020E6100000DA1EBDE13EA65DC0DEACC1FBAA1A4140,2021-01-31T00:00:16.660601,01 FEB 2022 - 15 OCT 2022,"21400 SATICOY STREET
2nd FLOOR
For Appoitment Call (818) 887-3872 Ext 400
Canoga Park, CA 91304
818-887-3872
Volunteer Prepared Taxes",,28638,"English,Spanish",1088,NEW ECONOMICS FOR WOMEN - CANOGA PARK,2022-03-20T00:00:44.253034
7067,Required,false,0101000020E61000003AB187F6B1865DC08E59F624B00F4140,2022-01-30T00:00:46.894373,01 FEB 2022 - 15 APR 2022,"2323 Huntington Drive
San Marino, CA 91108
626-995-0719
Volunteer Prepared Taxes",,29918,"English,Spanish,Tagalog",1088,KMA Auto Corporation San Marino,2022-03-20T00:00:44.65971
3222,Not Required,false,0101000020E610000056F2B1BB40765DC06F641EF983054140,2020-02-25T16:46:46.60017,26 FEB 2022 - 16 APR 2022,"1100 North Grand Ave
Bldg 79-3200B
Walnut, CA 91789
Volunteer Prepared Taxes",SAT 9:00AM-3:00PM,23335,"English,Spanish,Chinese",1088,Mount San Antonio College (Mt. SAC),2022-03-20T00:00:44.912123
4737,Not Required,false,0101000020E61000008C834BC79CFC57C00262122EE4A14440,2021-01-31T00:00:19.807068,05 FEB 2022 - 26 MAR 2022,"2500 California Plaza
Omaha, NE 68178
Volunteer Prepared Taxes",SAT 9:00AM-5:00PM,694,English,1088,Creighton University- Mike and Josie Harper Center,2022-03-20T00:00:50.188279
3517,Required,false,0101000020E6100000A22AA6D24FB857C0AB798EC8776F4240,2020-02-25T16:46:52.479691,02 FEB 2022 - 13 APR 2022,"217 W Steve Owens Blvd
Attn: Lisa Thorpe
Miami, OK 74354
918-253-4683
Volunteer Prepared Taxes",,7019,English,1088,NEOCAA Miami,2022-03-20T00:00:51.722064
