,id,appointment_info,archived,coordinates,created_at,dates,details,hours,irs_id,languages,last_scrape_id,name,updated_at,lat_long,longitude,latitude
0,2,Required,False,0101000020E61000007D7555A0169A5EC0471CB28174E54240,2020-01-10T19:32:16.304931,29 JAN 2022 - 01 OCT 2022,"777 Stockton Street
#104
San Francisco, CA 94108
415-421-2111
Volunteer Prepared Taxes",,4209,"Chinese,Cantonese,Mandarin,English,Vietnamese",1088,Chinese Newcomers - VITA,2022-03-20T00:00:42.58256,POINT (-122.407631 37.792618),-122.407631,37.792618
2,7200,Required,False,0101000020E610000077A38FF9807F5EC0FC1C1F2DCEC24240,2022-02-27T00:01:19.735168,02 MAR 2022 - 13 APR 2022,"39899 Balentine Dr
Suite 315
Newark, CA 94560
510-598-5543
Volunteer Prepared Taxes",,29493,"English,Chinese",1088,C  and L Tax and Accounting VITA,2022-03-20T00:00:42.949378,POINT (-121.992247 37.521917),-121.992247,37.521917
10,7063,Required,False,0101000020E61000007C7DAD4B8D6F5EC089618731E9454340,2022-01-30T00:00:45.58202,01 FEB 2022 - 18 APR 2022,"441 D Street
Davis, CA 95616
530-757-1261
Volunteer Prepared Taxes",,20646,"English,Spanish,Mandarin",1088,CRVC Empower Yolo - Davis,2022-03-20T00:00:43.236295,POINT (-121.742999 38.546179),-121.742999,38.546179
12,3181,Not Required,False,0101000020E6100000151E34BBEEC05DC0BF0B5BB395A94140,2020-02-25T16:46:45.740162,19 FEB 2022 - 24 MAR 2022,"1101 Planz Road
Bakersfield, CA 93304
Volunteer Prepared Taxes","THU 12:00PM-4:00PM
SAT 9:00AM-3:00PM",27776,"English,Spanish",1088,UWK Mobile - South High School,2022-03-20T00:00:44.102705,POINT (-119.014571 35.324881),-119.014571,35.324881
13,257,Required,False,0101000020E61000007E39B35DA1905DC0F7AC6BB41C084140,2020-01-10T19:32:18.449673,27 FEB 2022 - 15 APR 2022,"153 Glendale Blvd
Los Angeles, CA 90026
213-250-4353
Volunteer Prepared Taxes",,18192,"Tagalog,English",1088,Pilipino Workers Center,2022-03-20T00:00:44.51856,POINT (-118.259849 34.063376),-118.259849,34.063376
14,3285,Required,False,0101000020E6100000B3B27DC85BEA5BC0C007AF5DDA204440,2020-02-25T16:46:47.967864,31 JAN 2022 - 15 APR 2022,"1675 N Freedom Blvd
Bldg 1
Provo, UT 84604
801-344-7020
Volunteer Prepared Taxes",,27730,"English,Spanish",1088,EIKISI-ML-Green Dot - Bonneville Bank VITA,2022-03-20T00:00:46.42472,POINT (-111.661852 40.256664),-111.661852,40.256664
15,4711,Required,False,0101000020E6100000605628D2FD3B5AC04A9BAA7B64D74340,2021-01-31T00:00:18.770074,31 JAN 2022 - 15 APR 2022,"1873 Bellaire Street
Suite 500
Drop off may require return visit
Denver, CO 80222
720-772-6841
Volunteer Prepared Taxes",,29218,"English,Spanish,Arabic,Farsi,French,Virtual Interpreter Services",1088,"The International Rescue Committee, Denver, CO",2022-03-20T00:00:48.595919,POINT (-104.937367 39.682754),-104.937367,39.682754
16,6800,Not Required,False,0101000020E61000007157AF22A3F657C0AE9B525E2B1B4040,2022-01-09T00:00:40.907971,01 JAN 2022 - 15 APR 2022,"706 North Palestine
Athens, TX 75751
903-675-7288
Volunteer Prepared Taxes","TUE 10:00AM-4:00PM
THU 10:00AM-4:00PM",28435,English,1088,Athens,2022-03-20T00:00:52.099433,POINT (-95.853707 32.212261),-95.853707,32.212261
17,1048,Not Required,False,0101000020E610000062A1D634EFDA57C0734BAB2171DB3D40,2020-01-10T19:32:25.11969,21 JAN 2022 - 18 APR 2022,"6719 West Montgomery Road
Houston, TX 77091
Volunteer Prepared Taxes","MON 9:00AM-5:00PM
TUE 9:00AM-5:00PM
WED 9:00AM-5:00PM
FRI 9:00AM-5:00PM
SAT 10:00AM-3:00PM",11234,"English,Spanish,Virtual Interpreter Services",1088,BakerRipley-Acres Home Multi-Service Ctr,2022-03-20T00:00:53.228912,POINT (-95.42085 29.857195),-95.42085,29.857195
18,5054,Required,False,0101000020E6100000D1AE42CA4FEA56C086E63A8DB4FC4440,2021-05-02T00:00:12.495037,01 JAN 2022 - 01 OCT 2022,"317 7th Avenue
Suite 202F
Cedar Rapids, IA 52401
712-746-3025
Volunteer Prepared Taxes",,29410,"English,Spanish",1088,Manna Outreach and Resource,2022-03-20T00:00:53.470691,POINT (-91.66112 41.97426),-91.66112,41.97426
19,1538,Required,False,0101000020E6100000ED0C535BEA4056C04FAC53E57B663E40,2020-01-10T19:32:29.426032,25 JAN 2022 - 21 DEC 2022,"1135 Ford Street
Gulfport, MS 39507
228-896-1945
Volunteer Prepared Taxes",,11954,"English,Vietnamese",1088,Mercy Housing and Human Development,2022-03-20T00:00:57.955764,POINT (-89.014304 30.400328),-89.014304,30.400328
21,2706,Required,False,0101000020E6100000699082A7901954C03065E08096A23B40,2020-01-10T19:32:39.262939,31 JAN 2022 - 16 APR 2022,"1836 14th Ave
Appointment only
Vero Beach, FL 32960
772-567-8900
Volunteer Prepared Taxes",,1014,"English,Virtual Interpreter Services",1088,United Way of Indian River - Drop off Method,2022-03-20T00:01:10.388919,POINT (-80.399454 27.635109),-80.399454,27.635109
23,7025,Required,False,0101000020E61000004776A565A47952C0B18A37328F6C4440,2022-01-23T00:00:57.835428,29 JAN 2022 - 16 APR 2022,"1920 Webster Avenue
Bronx, NY 10457
917-697-0845
Volunteer Prepared Taxes",,30997,"Spanish,English",1088,Bronxworks NYCH Tremont,2022-03-20T00:01:11.859729,POINT (-73.900659 40.84812),-73.900659,40.84812
24,3009,Required,False,0101000020E6100000F52EDE8FDB2652C0F7C9518028184540,2020-01-10T19:32:41.725941,31 JAN 2022 - 13 MAY 2022,"35 Mount Carmel Ave
2nd Floor
Chicopee, MA 01013
413-612-0216
Volunteer Prepared Taxes",,24790,"English,Spanish",1088,Valley Opportunity Council,2022-03-20T00:01:13.518512,POINT (-72.607151 42.188736),-72.607151,42.188736
26,3115,Required,False,0101000020E61000007BC03C64CA905EC0F7ADD689CBE74240,2020-02-25T16:46:44.11454,07 FEB 2022 - 18 APR 2022,"200 Grand Ave
Oakland, CA 94612
510-238-4911
Volunteer Prepared Taxes",,27146,English,1088,City of Oakland VITA,2022-03-20T00:00:42.638178,POINT (-122.262353 37.810899),-122.262353,37.810899
28,12,Required,False,0101000020E6100000EDF483BA488E5EC091ED7C3F35E44240,2020-01-10T19:32:16.444281,24 JAN 2022 - 15 APR 2022,"1900 Fruitvale Ave
Suite 2A
ITIN Certifying Acceptance Agent
Oakland, CA 94601
510-535-6101
Volunteer Prepared Taxes",,11868,"Spanish,English",1088,The Unity Council,2022-03-20T00:00:42.695182,POINT (-122.223189 37.782875),-122.223189,37.782875
